RQ,label,n,mean_x,mean_y,mean_diff,ci_diff_lower,ci_diff_upper,wilcoxon_p,ttest_p,cohens_d
RQ(e) hybrid vs classical,classical_vs_vqc_accuracy,8,0.9982662381596752,0.6245771312584574,0.3736891069012178,0.3665439099665561,0.3808343038358795,0.0078125,5.961400536354036e-13,43.7233451241929
RQ(a) depolarizing_vs_phase_damping_at_L4,depolarizing_vs_phase_damping_at_L4,8,0.5507442489851151,0.60922699594046,-0.058482746955345055,-0.07056767280036863,-0.04639782111032148,0.0078125,8.74083514453898e-06,-4.045767482237238
RQ(a) depolarizing_vs_readout_at_L4,depolarizing_vs_readout_at_L4,8,0.5507442489851151,0.6236045331529094,-0.0728602841677943,-0.0863139170051638,-0.0594066513304248,0.0078125,4.105644919497287e-06,-4.52760400528902
RQ(a) phase_damping_vs_readout_at_L4,phase_damping_vs_readout_at_L4,8,0.60922699594046,0.6236045331529094,-0.014377537212449248,-0.019170032835161784,-0.009585041589736712,0.0078125,0.00019470438069038072,-2.5080715471397874
