epsilon,clean_accuracy,clean_precision,clean_recall,clean_f1,adversarial_accuracy,adversarial_precision,adversarial_recall,adversarial_f1,accuracy_drop,prediction_change_rate,attack_success_rate,clean_correct_samples,successful_attacks,mean_l2_perturbation,max_l2_perturbation,mean_linf_perturbation,max_linf_perturbation,runtime_seconds
0.01,0.5852503382949933,0.5915049816465653,0.7161904761904762,0.6479035037334865,0.489851150202977,0.5179432244242099,0.6139682539682539,0.5618826263800116,0.09539918809201631,0.10216508795669824,0.16878612716763006,1730,292,0.019999995827674866,0.019999999552965164,0.009999997913837433,0.009999999776482582,476.0613353999797
0.05,0.5852503382949933,0.5915049816465653,0.7161904761904762,0.6479035037334865,0.3406630581867388,0.38707729468599034,0.406984126984127,0.3967811822965026,0.24458728010825448,0.31224627875507444,0.47572254335260117,1730,823,0.10000000894069672,0.10000000149011612,0.05000000447034836,0.05000000074505806,425.3108423000667
0.1,0.5852503382949933,0.5915049816465653,0.7161904761904762,0.6479035037334865,0.4786874154262517,0.5097365406643757,0.5650793650793651,0.5359831376091538,0.10656292286874158,0.324424898511502,0.36820809248554914,1730,637,0.20000001788139343,0.20000000298023224,0.10000000894069672,0.10000000149011612,407.0352832998615
0.2,0.5852503382949933,0.5915049816465653,0.7161904761904762,0.6479035037334865,0.4837618403247632,0.5138653084323712,0.5765079365079365,0.5433871932974267,0.10148849797023007,0.37415426251691475,0.40635838150289016,1730,703,0.40000003576278687,0.4000000059604645,0.20000001788139343,0.20000000298023224,406.7312983002048
0.3,0.5852503382949933,0.5915049816465653,0.7161904761904762,0.6479035037334865,0.4587280108254398,0.49231714812538413,0.5085714285714286,0.5003123048094941,0.1265223274695535,0.4485791610284168,0.4913294797687861,1730,850,0.5999999642372131,0.6000000238418579,0.29999998211860657,0.30000001192092896,407.6247928000521
