epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.691758474779124,0.6886574015052828,0.5482609155301829,0.5369978858350951
2,0.6814147064708255,0.6802510181894766,0.5736335764880008,0.5627906976744186
3,0.6731390660428411,0.6788097431997416,0.5827254466645523,0.5632135306553911
4,0.6724706218048311,0.6785741869793381,0.5782852309969342,0.5780126849894291
5,0.6724179374048758,0.6785169886736234,0.5799767417274553,0.5750528541226215
6,0.672317825950141,0.6789187245086686,0.5783909504175917,0.5708245243128964
7,0.6720648200495045,0.6785043139034296,0.5776509144729887,0.5602536997885835
8,0.6724272396300078,0.6782487379824133,0.5828311660852099,0.5674418604651162
9,0.6721494087697537,0.6788687206221937,0.5820911301406069,0.5649048625792812
10,0.6723420791361823,0.6780599708032911,0.5809282165133735,0.5691331923890064
11,0.6719942314010529,0.6784865141418973,0.580293899989428,0.5640591966173362
12,0.672228623424578,0.6788407661446053,0.5778623533143038,0.5665961945031712
13,0.6717095806515737,0.6791279441458479,0.5812453747753462,0.5661733615221988
14,0.6722512231063157,0.6777728083773848,0.5784966698382493,0.5771670190274841
15,0.672015733239464,0.6781337305304868,0.5839940797124432,0.5644820295983086
16,0.672375955646191,0.6783874472654395,0.5801881805687705,0.5665961945031712
17,0.6720915965429508,0.6785925840978643,0.5781795115762766,0.5568710359408033
18,0.6720965734646253,0.6780531642048858,0.5836769214504705,0.5704016913319239
19,0.6721414768150132,0.6779427773604685,0.5800824611481129,0.5678646934460888
20,0.6720429900358212,0.6780672372773636,0.5782852309969342,0.5691331923890064
21,0.6720305507877989,0.6774904191115946,0.5798710223067978,0.5704016913319239
22,0.6720483590979596,0.6788348808097033,0.5733164182260281,0.5568710359408033
23,0.67223487735639,0.6782811618002474,0.5799767417274553,0.5589852008456659
24,0.6721787352821063,0.6786640200252009,0.5791309863621947,0.5610993657505285
25,0.6717149738290494,0.6786330962281902,0.5792367057828524,0.5670190274841438
26,0.6719138808300334,0.6777667666590491,0.5805053388307432,0.5708245243128964
27,0.6718920137264951,0.6789587356575447,0.5800824611481129,0.5644820295983086
28,0.6720116010099375,0.6792031471119371,0.5831483243471826,0.5572938689217759
29,0.671922029350207,0.6784227791598685,0.578813828100222,0.5627906976744186
30,0.6717132819620143,0.6770924143256899,0.5839940797124432,0.5708245243128964
