label,n,mean_x,mean_y,mean_diff,ci_diff_lower,ci_diff_upper,wilcoxon_p,ttest_p,cohens_d,wilcoxon_p_fdr
readout_calibration_combined_L2,8,0.6275,0.6279166666666667,-0.0004166666666666624,-0.001401926771496979,0.0005685934381636543,1.0,0.3506166628202074,-0.35355339059327373,1.0
readout_calibration_readout_L2,8,0.6233333333333333,0.625,-0.0016666666666666774,-0.0037732413804564217,0.00043990804712306687,0.25,0.10355171027145676,-0.6614378277661531,0.7291666666666666
readout_calibration_readout_L4,8,0.6233333333333333,0.62375,-0.0004166666666666624,-0.00645587138851515,0.005622538055181825,1.0,0.8750151326336759,-0.057680119605619494,1.0
zne_depolarizing_L2,8,0.6229166666666666,0.6283333333333334,-0.005416666666666667,-0.01675480482672398,0.005921471493390644,0.2421875,0.29583337712951807,-0.39939949530520735,0.7291666666666666
zne_depolarizing_L4,8,0.5475000000000001,0.5625,-0.014999999999999986,-0.0430261537387093,0.013026153738709325,0.3125,0.24615774814586186,-0.4474504044101192,0.7291666666666666
zne_phase_damping_L2,8,0.62375,0.625,-0.0012500000000000011,-0.01325354849714336,0.010753548497143358,0.8125,0.812559427704399,-0.0870597683914751,1.0
zne_phase_damping_L4,8,0.6120833333333333,0.6183333333333334,-0.0062500000000000056,-0.02910597160231057,0.01660597160231056,0.578125,0.538499667315227,-0.22861118534367966,1.0
