seed,method,noise_type,level,accuracy,precision,recall,f1
48,readout_calibration,readout,L2,0.59,0.6094674556213018,0.64375,0.6261398176291794
48,readout_calibration,readout,L4,0.6033333333333334,0.6227544910179641,0.65,0.636085626911315
48,readout_calibration,combined,L2,0.5966666666666667,0.6196319018404908,0.63125,0.6253869969040248
48,zne,depolarizing,L2,0.6,0.6149425287356322,0.66875,0.6407185628742516
48,zne,depolarizing,L4,0.5533333333333333,0.5942028985507246,0.5125,0.5503355704697986
48,zne,phase_damping,L2,0.6066666666666667,0.6179775280898876,0.6875,0.650887573964497
48,zne,phase_damping,L4,0.5766666666666667,0.6012269938650306,0.6125,0.6068111455108359
