seed,method,noise_type,level,accuracy,precision,recall,f1
45,readout_calibration,readout,L2,0.6266666666666667,0.6318681318681318,0.71875,0.672514619883041
45,readout_calibration,readout,L4,0.6366666666666667,0.6408839779005525,0.725,0.6803519061583577
45,readout_calibration,combined,L2,0.62,0.6292134831460674,0.7,0.6627218934911243
45,zne,depolarizing,L2,0.63,0.6368715083798883,0.7125,0.672566371681416
45,zne,depolarizing,L4,0.5733333333333334,0.6702127659574468,0.39375,0.49606299212598426
45,zne,phase_damping,L2,0.6366666666666667,0.6457142857142857,0.70625,0.6746268656716418
45,zne,phase_damping,L4,0.6333333333333333,0.6666666666666666,0.625,0.6451612903225806
