seed,method,noise_type,level,accuracy,precision,recall,f1
42,readout_calibration,readout,L2,0.6166666666666667,0.6285714285714286,0.6875,0.6567164179104478
42,readout_calibration,readout,L4,0.6066666666666667,0.6206896551724138,0.675,0.6467065868263473
42,readout_calibration,combined,L2,0.6233333333333333,0.6374269005847953,0.68125,0.6586102719033232
42,zne,depolarizing,L2,0.6066666666666667,0.6280487804878049,0.64375,0.6358024691358025
42,zne,depolarizing,L4,0.51,0.5698924731182796,0.33125,0.4189723320158103
42,zne,phase_damping,L2,0.61,0.6257309941520468,0.66875,0.6465256797583081
42,zne,phase_damping,L4,0.6066666666666667,0.6438356164383562,0.5875,0.6143790849673203
