seed,method,noise_type,level,accuracy,precision,recall,f1
47,readout_calibration,readout,L2,0.6133333333333333,0.6145833333333334,0.7375,0.6704545454545454
47,readout_calibration,readout,L4,0.6233333333333333,0.6256684491978609,0.73125,0.6743515850144092
47,readout_calibration,combined,L2,0.6333333333333333,0.6288659793814433,0.7625,0.6892655367231638
47,zne,depolarizing,L2,0.6066666666666667,0.6082474226804123,0.7375,0.6666666666666666
47,zne,depolarizing,L4,0.5233333333333333,0.5515151515151515,0.56875,0.56
47,zne,phase_damping,L2,0.6066666666666667,0.6082474226804123,0.7375,0.6666666666666666
47,zne,phase_damping,L4,0.5933333333333334,0.5979381443298969,0.725,0.655367231638418
