seed,method,noise_type,level,accuracy,precision,recall,f1
42,readout_calibration,readout,L2,0.6166666666666667,0.6285714285714286,0.6875,0.6567164179104478
42,readout_calibration,readout,L4,0.6066666666666667,0.6206896551724138,0.675,0.6467065868263473
42,readout_calibration,combined,L2,0.6233333333333333,0.6374269005847953,0.68125,0.6586102719033232
42,zne,depolarizing,L2,0.6066666666666667,0.6280487804878049,0.64375,0.6358024691358025
42,zne,depolarizing,L4,0.51,0.5698924731182796,0.33125,0.4189723320158103
42,zne,phase_damping,L2,0.61,0.6257309941520468,0.66875,0.6465256797583081
42,zne,phase_damping,L4,0.6066666666666667,0.6438356164383562,0.5875,0.6143790849673203
43,readout_calibration,readout,L2,0.61,0.6187845303867403,0.7,0.656891495601173
43,readout_calibration,readout,L4,0.6066666666666667,0.6166666666666667,0.69375,0.6529411764705882
43,readout_calibration,combined,L2,0.6166666666666667,0.6285714285714286,0.6875,0.6567164179104478
43,zne,depolarizing,L2,0.6166666666666667,0.6271186440677966,0.69375,0.658753709198813
43,zne,depolarizing,L4,0.53,0.6266666666666667,0.29375,0.4
43,zne,phase_damping,L2,0.62,0.6277777777777778,0.70625,0.6647058823529411
43,zne,phase_damping,L4,0.5966666666666667,0.6344827586206897,0.575,0.6032786885245902
44,readout_calibration,readout,L2,0.63,0.6150234741784038,0.81875,0.7024128686327078
44,readout_calibration,readout,L4,0.6333333333333333,0.6179245283018868,0.81875,0.7043010752688172
44,readout_calibration,combined,L2,0.6266666666666667,0.6090909090909091,0.8375,0.7052631578947368
44,zne,depolarizing,L2,0.64,0.6192660550458715,0.84375,0.7142857142857143
44,zne,depolarizing,L4,0.5433333333333333,0.5440613026819924,0.8875,0.6745843230403801
44,zne,phase_damping,L2,0.63,0.6129032258064516,0.83125,0.7055702917771883
44,zne,phase_damping,L4,0.62,0.597457627118644,0.88125,0.7121212121212122
45,readout_calibration,readout,L2,0.6266666666666667,0.6318681318681318,0.71875,0.672514619883041
45,readout_calibration,readout,L4,0.6366666666666667,0.6408839779005525,0.725,0.6803519061583577
45,readout_calibration,combined,L2,0.62,0.6292134831460674,0.7,0.6627218934911243
45,zne,depolarizing,L2,0.63,0.6368715083798883,0.7125,0.672566371681416
45,zne,depolarizing,L4,0.5733333333333334,0.6702127659574468,0.39375,0.49606299212598426
45,zne,phase_damping,L2,0.6366666666666667,0.6457142857142857,0.70625,0.6746268656716418
45,zne,phase_damping,L4,0.6333333333333333,0.6666666666666666,0.625,0.6451612903225806
46,readout_calibration,readout,L2,0.6366666666666667,0.6268656716417911,0.7875,0.6980609418282548
46,readout_calibration,readout,L4,0.6266666666666667,0.6188118811881188,0.78125,0.6906077348066298
46,readout_calibration,combined,L2,0.64,0.6326530612244898,0.775,0.6966292134831461
46,zne,depolarizing,L2,0.64,0.63,0.7875,0.7
46,zne,depolarizing,L4,0.5633333333333334,0.5973154362416108,0.55625,0.5760517799352751
46,zne,phase_damping,L2,0.64,0.63,0.7875,0.7
46,zne,phase_damping,L4,0.6033333333333334,0.6120218579234973,0.7,0.6530612244897959
47,readout_calibration,readout,L2,0.6133333333333333,0.6145833333333334,0.7375,0.6704545454545454
47,readout_calibration,readout,L4,0.6233333333333333,0.6256684491978609,0.73125,0.6743515850144092
47,readout_calibration,combined,L2,0.6333333333333333,0.6288659793814433,0.7625,0.6892655367231638
47,zne,depolarizing,L2,0.6066666666666667,0.6082474226804123,0.7375,0.6666666666666666
47,zne,depolarizing,L4,0.5233333333333333,0.5515151515151515,0.56875,0.56
47,zne,phase_damping,L2,0.6066666666666667,0.6082474226804123,0.7375,0.6666666666666666
47,zne,phase_damping,L4,0.5933333333333334,0.5979381443298969,0.725,0.655367231638418
48,readout_calibration,readout,L2,0.59,0.6094674556213018,0.64375,0.6261398176291794
48,readout_calibration,readout,L4,0.6033333333333334,0.6227544910179641,0.65,0.636085626911315
48,readout_calibration,combined,L2,0.5966666666666667,0.6196319018404908,0.63125,0.6253869969040248
48,zne,depolarizing,L2,0.6,0.6149425287356322,0.66875,0.6407185628742516
48,zne,depolarizing,L4,0.5533333333333333,0.5942028985507246,0.5125,0.5503355704697986
48,zne,phase_damping,L2,0.6066666666666667,0.6179775280898876,0.6875,0.650887573964497
48,zne,phase_damping,L4,0.5766666666666667,0.6012269938650306,0.6125,0.6068111455108359
49,readout_calibration,readout,L2,0.6633333333333333,0.6612021857923497,0.75625,0.7055393586005831
49,readout_calibration,readout,L4,0.65,0.6536312849162011,0.73125,0.6902654867256637
49,readout_calibration,combined,L2,0.6633333333333333,0.6594594594594595,0.7625,0.7072463768115942
49,zne,depolarizing,L2,0.6433333333333333,0.653179190751445,0.70625,0.6786786786786787
49,zne,depolarizing,L4,0.5833333333333334,0.6258992805755396,0.54375,0.5819397993311036
49,zne,phase_damping,L2,0.64,0.6477272727272727,0.7125,0.6785714285714286
49,zne,phase_damping,L4,0.6666666666666666,0.6875,0.6875,0.6875
