seed,noise_type,level,elapsed_s,accuracy,precision,recall,f1
48,none,L0,21.057648420333862,0.6231393775372125,0.6386049308478653,0.6742857142857143,0.6559604694255713
48,depolarizing,L1,26.427682399749756,0.6200947225981055,0.6366384522370012,0.6685714285714286,0.6522143078352431
48,depolarizing,L2,26.890648126602173,0.618403247631935,0.6365302382406842,0.6615873015873016,0.6488169364881694
48,depolarizing,L3,26.974056482315063,0.5984438430311232,0.628476821192053,0.6025396825396825,0.6152350081037277
48,depolarizing,L4,26.984177112579346,0.547361299052774,0.5926505082095387,0.4812698412698413,0.5311843027330063
48,phase_damping,L1,24.574392557144165,0.6228010825439784,0.6382211538461539,0.6742857142857143,0.6557579499845632
48,phase_damping,L2,24.299729824066162,0.621447902571042,0.6383495145631068,0.6679365079365079,0.652807942910332
48,phase_damping,L3,23.783657789230347,0.6102841677943166,0.6319401122894572,0.6431746031746032,0.6375078665827565
48,phase_damping,L4,24.929659366607666,0.5984438430311232,0.6283068783068783,0.6031746031746031,0.6154842889536767
48,readout,L1,24.422693490982056,0.6241542625169147,0.6389221556886228,0.6774603174603174,0.6576271186440678
48,readout,L2,24.748159646987915,0.6238159675236806,0.6382089552238805,0.6787301587301587,0.6578461538461539
48,readout,L3,23.963114023208618,0.6221244925575101,0.6366348448687351,0.6774603174603174,0.6564134112580744
48,readout,L4,24.531575679779053,0.6190798376184032,0.634996993385448,0.6704761904761904,0.6522544780728845
48,combined,L2,30.559406518936157,0.6211096075778079,0.6384662203286671,0.6660317460317461,0.6519577377252952
