seed,noise_type,level,elapsed_s,accuracy,precision,recall,f1
42,none,L0,18.93282961845398,0.6299052774018945,0.6405610753945061,0.6958730158730159,0.6670724284844796
42,depolarizing,L1,27.20473861694336,0.6299052774018945,0.6432400238237046,0.6857142857142857,0.6637984019668101
42,depolarizing,L2,26.398512601852417,0.628552097428958,0.644808743169399,0.6742857142857143,0.659217877094972
42,depolarizing,L3,26.684489965438843,0.6126522327469553,0.6585545722713865,0.566984126984127,0.6093483452746503
42,depolarizing,L4,26.50790309906006,0.5348443843031123,0.6210653753026635,0.32571428571428573,0.4273219491878384
42,phase_damping,L1,24.151215314865112,0.6295669824086604,0.6416765053128689,0.6901587301587302,0.6650351789538085
42,phase_damping,L2,25.224652528762817,0.6305818673883626,0.644871025794841,0.6825396825396826,0.6631708821714991
42,phase_damping,L3,24.2199809551239,0.6234776725304465,0.6492248062015504,0.638095238095238,0.643611911623439
42,phase_damping,L4,24.388026475906372,0.6129905277401895,0.6576444769568398,0.5707936507936507,0.611148878314072
42,readout,L1,24.42587375640869,0.6309201623815968,0.6413551401869159,0.6971428571428572,0.6680864009735321
42,readout,L2,24.534449815750122,0.6271989174560216,0.6388725778038755,0.6907936507936508,0.6638194020744357
42,readout,L3,24.31972336769104,0.6299052774018945,0.6412213740458015,0.6933333333333334,0.6662599145820622
42,readout,L4,24.470794916152954,0.6302435723951285,0.6448317307692307,0.6812698412698412,0.6625501698054955
42,combined,L2,31.98958945274353,0.6231393775372125,0.6413243408951563,0.6641269841269841,0.6525265127885215
43,none,L0,20.146433353424072,0.6194181326116374,0.629757785467128,0.6933333333333334,0.6600181323662738
43,depolarizing,L1,26.727409601211548,0.6194181326116374,0.6318874560375146,0.6844444444444444,0.6571167327034441
43,depolarizing,L2,27.35447406768799,0.6190798376184032,0.6348348348348348,0.6711111111111111,0.6524691358024691
43,depolarizing,L3,27.090776920318604,0.6025033829499323,0.6587301587301587,0.526984126984127,0.5855379188712522
43,depolarizing,L4,27.890648365020752,0.5219891745602165,0.6227272727272727,0.26095238095238094,0.36778523489932885
43,phase_damping,L1,25.378102779388428,0.6190798376184032,0.6305991855730075,0.6882539682539682,0.6581663630843959
43,phase_damping,L2,24.605833530426025,0.6190798376184032,0.6329188869153345,0.6787301587301587,0.6550245098039216
43,phase_damping,L3,25.212435483932495,0.6156968876860622,0.6420711974110033,0.6298412698412699,0.6358974358974359
43,phase_damping,L4,24.947418451309204,0.6038565629228687,0.6613418530351438,0.5257142857142857,0.5857799787760877
43,readout,L1,25.081024169921875,0.618064952638701,0.6283084004602992,0.6933333333333334,0.6592212496226985
43,readout,L2,25.88739538192749,0.6190798376184032,0.6296938186019642,0.692063492063492,0.6594071385359952
43,readout,L3,24.98316788673401,0.6173883626522327,0.6298245614035087,0.6838095238095238,0.6557077625570776
43,readout,L4,24.330615758895874,0.6194181326116374,0.6325088339222615,0.6819047619047619,0.6562786434463794
43,combined,L2,31.933992862701416,0.6156968876860622,0.6332726168791742,0.6622222222222223,0.6474239602731223
44,none,L0,20.274242639541626,0.6278755074424899,0.6191670847967887,0.7834920634920635,0.6917040358744395
44,depolarizing,L1,27.445384979248047,0.6275372124492558,0.6166338582677166,0.7955555555555556,0.6947601885223177
44,depolarizing,L2,27.69706702232361,0.6221244925575101,0.6106280193236715,0.8025396825396826,0.6935528120713306
44,depolarizing,L3,27.527294158935547,0.6008119079837618,0.5844377939290295,0.8679365079365079,0.6985181400102197
