seed,model,epsilon,attack_success_rate,robustness_accuracy,mean_linf,mean_l2,accuracy,precision,recall,f1
46,classical,0.2,0.0,1.0,0.20000003,0.38790652,1.0,1.0,1.0,1.0
46,classical,0.3,0.0,1.0,0.30000004,0.5733374,1.0,1.0,1.0,1.0
47,vqc,0.0,0.0,0.66,0.0,0.0,0.66,0.6923076923076923,0.6666666666666666,0.6792452830188679
47,vqc,0.05,0.696969696969697,0.54,0.05,0.08665059,0.54,0.5769230769230769,0.5555555555555556,0.5660377358490566
47,vqc,0.1,0.9696969696969697,0.36,0.09300001,0.14279974,0.36,0.4,0.37037037037037035,0.38461538461538464
47,vqc,0.2,0.7272727272727273,0.5,0.12299998,0.17536694,0.5,0.5333333333333333,0.5925925925925926,0.5614035087719298
47,vqc,0.3,0.6060606060606061,0.52,0.15150005,0.22779392,0.52,0.5428571428571428,0.7037037037037037,0.6129032258064516
47,classical,0.0,0.0,0.98,0.0,0.0,0.98,0.9642857142857143,1.0,0.9818181818181818
47,classical,0.05,0.0,0.98,0.019000001,0.037999984,0.98,0.9642857142857143,1.0,0.9818181818181818
47,classical,0.1,0.0,0.98,0.03800001,0.075,0.98,0.9642857142857143,1.0,0.9818181818181818
47,classical,0.2,0.0,1.0,0.07600002,0.15054984,1.0,1.0,1.0,1.0
47,classical,0.3,0.0,1.0,0.114000015,0.22664951,1.0,1.0,1.0,1.0
48,vqc,0.0,0.0,0.52,0.0,0.0,0.52,0.5789473684210527,0.4074074074074074,0.4782608695652174
48,vqc,0.05,0.8461538461538461,0.5,0.049000006,0.08440763,0.5,0.5333333333333333,0.5925925925925926,0.5614035087719298
48,vqc,0.1,0.8846153846153846,0.5,0.09,0.13196185,0.5,0.5333333333333333,0.5925925925925926,0.5614035087719298
48,vqc,0.2,0.7692307692307693,0.56,0.126,0.18039961,0.56,0.5925925925925926,0.5925925925925926,0.5925925925925926
48,vqc,0.3,0.6153846153846154,0.54,0.16500004,0.23885508,0.54,0.5666666666666667,0.6296296296296297,0.5964912280701754
48,classical,0.0,0.0,0.98,0.0,0.0,0.98,0.9642857142857143,1.0,0.9818181818181818
