seed,epsilon,noise_type,level,attack_success_rate,robustness_accuracy,accuracy,precision,recall,f1
46,0.0,none,L0,0.04746835443037975,0.624,0.624,0.6196319018404908,0.7593984962406015,0.6824324324324325
46,0.0,depolarizing,L1,0.06645569620253164,0.62,0.62,0.6194968553459119,0.7406015037593985,0.6746575342465754
46,0.0,depolarizing,L2,0.07278481012658228,0.616,0.616,0.6178343949044586,0.7293233082706767,0.6689655172413793
46,0.0,depolarizing,L3,0.16455696202531644,0.586,0.586,0.6057347670250897,0.6353383458646616,0.6201834862385321
46,0.0,depolarizing,L4,0.370253164556962,0.516,0.516,0.5517241379310345,0.48120300751879697,0.5140562248995983
46,0.0,phase_damping,L1,0.06329113924050633,0.614,0.614,0.6130030959752322,0.7443609022556391,0.6723259762308998
46,0.0,phase_damping,L2,0.06962025316455696,0.618,0.618,0.6182965299684543,0.7368421052631579,0.6723842195540308
46,0.0,phase_damping,L3,0.09177215189873418,0.612,0.612,0.6168831168831169,0.7142857142857143,0.662020905923345
46,0.0,phase_damping,L4,0.15822784810126583,0.582,0.582,0.5986159169550173,0.650375939849624,0.6234234234234234
46,0.0,readout,L1,0.05063291139240506,0.622,0.622,0.6199376947040498,0.7481203007518797,0.6780238500851788
46,0.0,readout,L2,0.05063291139240506,0.622,0.622,0.6199376947040498,0.7481203007518797,0.6780238500851788
46,0.0,readout,L3,0.04430379746835443,0.624,0.624,0.6226415094339622,0.7443609022556391,0.678082191780822
46,0.0,readout,L4,0.04430379746835443,0.622,0.622,0.6206896551724138,0.7443609022556391,0.676923076923077
46,0.0,combined,L2,0.060126582278481014,0.628,0.628,0.6290322580645161,0.7330827067669173,0.6770833333333334
46,0.02,none,L0,0.37658227848101267,0.568,0.568,0.5880281690140845,0.6278195488721805,0.6072727272727273
46,0.02,depolarizing,L1,0.3924050632911392,0.558,0.558,0.5800711743772242,0.6127819548872181,0.5959780621572212
46,0.02,depolarizing,L2,0.3987341772151899,0.556,0.556,0.579136690647482,0.6052631578947368,0.5919117647058824
46,0.02,depolarizing,L3,0.4430379746835443,0.548,0.548,0.5826446280991735,0.5300751879699248,0.5551181102362205
46,0.02,depolarizing,L4,0.5158227848101266,0.504,0.504,0.5428571428571428,0.42857142857142855,0.4789915966386555
46,0.02,phase_damping,L1,0.3860759493670886,0.562,0.562,0.5836298932384342,0.6165413533834586,0.5996343692870201
