seed,epsilon,noise_type,level,attack_success_rate,robustness_accuracy,accuracy,precision,recall,f1
49,0.0,none,L0,0.02694610778443114,0.666,0.666,0.6666666666666666,0.7443609022556391,0.7033747779751333
49,0.0,depolarizing,L1,0.041916167664670656,0.67,0.67,0.6688963210702341,0.7518796992481203,0.7079646017699115
49,0.0,depolarizing,L2,0.059880239520958084,0.662,0.662,0.6611295681063123,0.7481203007518797,0.7019400352733686
49,0.0,depolarizing,L3,0.15868263473053892,0.63,0.63,0.6431095406360424,0.6842105263157895,0.663023679417122
49,0.0,depolarizing,L4,0.32934131736526945,0.57,0.57,0.6032388663967612,0.5601503759398496,0.580896686159844
49,0.0,phase_damping,L1,0.038922155688622756,0.672,0.672,0.67,0.7556390977443609,0.7102473498233216
49,0.0,phase_damping,L2,0.04491017964071856,0.672,0.672,0.6688741721854304,0.7593984962406015,0.7112676056338029
49,0.0,phase_damping,L3,0.0748502994011976,0.662,0.662,0.6632996632996633,0.7406015037593985,0.6998223801065719
49,0.0,phase_damping,L4,0.1467065868263473,0.636,0.636,0.6428571428571429,0.7105263157894737,0.675
49,0.0,readout,L1,0.03293413173652695,0.66,0.66,0.6610738255033557,0.7406015037593985,0.6985815602836879
49,0.0,readout,L2,0.03592814371257485,0.662,0.662,0.6622073578595318,0.7443609022556391,0.7008849557522124
49,0.0,readout,L3,0.03592814371257485,0.664,0.664,0.6611842105263158,0.7556390977443609,0.7052631578947368
49,0.0,readout,L4,0.03293413173652695,0.67,0.67,0.6688963210702341,0.7518796992481203,0.7079646017699115
49,0.0,combined,L2,0.059880239520958084,0.656,0.656,0.6556291390728477,0.7443609022556391,0.6971830985915493
49,0.02,none,L0,0.3712574850299401,0.604,0.604,0.6140939597315436,0.6879699248120301,0.648936170212766
49,0.02,depolarizing,L1,0.38323353293413176,0.596,0.596,0.6059602649006622,0.6879699248120301,0.6443661971830986
49,0.02,depolarizing,L2,0.38622754491017963,0.592,0.592,0.6040268456375839,0.6766917293233082,0.6382978723404256
49,0.02,depolarizing,L3,0.40119760479041916,0.57,0.57,0.5984555984555985,0.5827067669172933,0.5904761904761905
49,0.02,depolarizing,L4,0.4491017964071856,0.54,0.54,0.5803571428571429,0.48872180451127817,0.5306122448979592
49,0.02,phase_damping,L1,0.3772455089820359,0.598,0.598,0.6079734219269103,0.6879699248120301,0.6455026455026455
49,0.02,phase_damping,L2,0.3772455089820359,0.598,0.598,0.6079734219269103,0.6879699248120301,0.6455026455026455
49,0.02,phase_damping,L3,0.39520958083832336,0.586,0.586,0.6042402826855123,0.6428571428571429,0.6229508196721312
49,0.02,phase_damping,L4,0.38023952095808383,0.594,0.594,0.6216216216216216,0.6052631578947368,0.6133333333333333
49,0.02,readout,L1,0.3712574850299401,0.602,0.602,0.6112956810631229,0.6917293233082706,0.6490299823633157
49,0.02,readout,L2,0.37425149700598803,0.602,0.602,0.6105610561056105,0.6954887218045113,0.6502636203866432
49,0.02,readout,L3,0.38023952095808383,0.598,0.598,0.6065573770491803,0.6954887218045113,0.647985989492119
49,0.02,readout,L4,0.3652694610778443,0.606,0.606,0.6123778501628665,0.706766917293233,0.6561954624781849
49,0.02,combined,L2,0.38622754491017963,0.59,0.59,0.6026936026936027,0.6729323308270677,0.6358792184724689
49,0.05,none,L0,0.5718562874251497,0.53,0.53,0.5532646048109966,0.6052631578947368,0.578096947935368
49,0.05,depolarizing,L1,0.5718562874251497,0.53,0.53,0.554006968641115,0.5977443609022557,0.5750452079566004
49,0.05,depolarizing,L2,0.5838323353293413,0.524,0.524,0.5492957746478874,0.5864661654135338,0.5672727272727273
49,0.05,depolarizing,L3,0.592814371257485,0.504,0.504,0.5335820895522388,0.5375939849624061,0.5355805243445693
49,0.05,depolarizing,L4,0.5568862275449101,0.492,0.492,0.5256410256410257,0.462406015037594,0.492
49,0.05,phase_damping,L1,0.5658682634730539,0.534,0.534,0.5570934256055363,0.6052631578947368,0.5801801801801801
49,0.05,phase_damping,L2,0.5658682634730539,0.536,0.536,0.5594405594405595,0.6015037593984962,0.5797101449275363
49,0.05,phase_damping,L3,0.5778443113772455,0.524,0.524,0.55,0.5789473684210527,0.5641025641025641
49,0.05,phase_damping,L4,0.5838323353293413,0.516,0.516,0.5444444444444444,0.5526315789473685,0.5485074626865671
49,0.05,readout,L1,0.5658682634730539,0.534,0.534,0.5574912891986062,0.6015037593984962,0.5786618444846293
49,0.05,readout,L2,0.5748502994011976,0.526,0.526,0.5512367491166078,0.5864661654135338,0.5683060109289617
49,0.05,readout,L3,0.5718562874251497,0.526,0.526,0.5512367491166078,0.5864661654135338,0.5683060109289617
49,0.05,readout,L4,0.5748502994011976,0.53,0.53,0.5543859649122806,0.5939849624060151,0.573502722323049
49,0.05,combined,L2,0.5718562874251497,0.526,0.526,0.5519713261648745,0.5789473684210527,0.5651376146788991
49,0.1,none,L0,0.46407185628742514,0.57,0.57,0.5894736842105263,0.631578947368421,0.6098003629764065
49,0.1,depolarizing,L1,0.4491017964071856,0.578,0.578,0.597864768683274,0.631578947368421,0.6142595978062158
49,0.1,depolarizing,L2,0.4550898203592814,0.578,0.578,0.6,0.6203007518796992,0.609981515711645
49,0.1,depolarizing,L3,0.4491017964071856,0.578,0.578,0.6053639846743295,0.5939849624060151,0.5996204933586338
49,0.1,depolarizing,L4,0.5119760479041916,0.516,0.516,0.5526315789473685,0.47368421052631576,0.5101214574898786
49,0.1,phase_damping,L1,0.4550898203592814,0.574,0.574,0.594306049822064,0.6278195488721805,0.6106032906764168
