seed,epsilon,noise_type,level,attack_success_rate,robustness_accuracy,accuracy,precision,recall,f1
47,0.0,none,L0,0.025559105431309903,0.632,0.632,0.6375838926174496,0.7142857142857143,0.6737588652482269
47,0.0,depolarizing,L1,0.038338658146964855,0.632,0.632,0.6394557823129252,0.706766917293233,0.6714285714285714
47,0.0,depolarizing,L2,0.04153354632587859,0.638,0.638,0.6430976430976431,0.7180451127819549,0.6785079928952042
47,0.0,depolarizing,L3,0.08945686900958466,0.654,0.654,0.6608996539792388,0.7180451127819549,0.6882882882882883
47,0.0,depolarizing,L4,0.25559105431309903,0.598,0.598,0.6164874551971327,0.6466165413533834,0.6311926605504588
47,0.0,phase_damping,L1,0.03514376996805112,0.63,0.63,0.6372881355932203,0.706766917293233,0.6702317290552585
47,0.0,phase_damping,L2,0.04153354632587859,0.636,0.636,0.6418918918918919,0.7142857142857143,0.6761565836298933
47,0.0,phase_damping,L3,0.051118210862619806,0.65,0.65,0.6542372881355932,0.7255639097744361,0.6880570409982175
47,0.0,phase_damping,L4,0.07348242811501597,0.662,0.662,0.6655290102389079,0.7330827067669173,0.6976744186046512
47,0.0,readout,L1,0.02875399361022364,0.632,0.632,0.6385135135135135,0.7105263157894737,0.6725978647686833
47,0.0,readout,L2,0.03194888178913738,0.63,0.63,0.6372881355932203,0.706766917293233,0.6702317290552585
47,0.0,readout,L3,0.02875399361022364,0.636,0.636,0.6418918918918919,0.7142857142857143,0.6761565836298933
47,0.0,readout,L4,0.025559105431309903,0.632,0.632,0.6385135135135135,0.7105263157894737,0.6725978647686833
47,0.0,combined,L2,0.04153354632587859,0.636,0.636,0.6409395973154363,0.7180451127819549,0.6773049645390071
47,0.02,none,L0,0.3258785942492013,0.612,0.612,0.6168831168831169,0.7142857142857143,0.662020905923345
47,0.02,depolarizing,L1,0.31629392971246006,0.616,0.616,0.6201298701298701,0.7180451127819549,0.6655052264808362
47,0.02,depolarizing,L2,0.31629392971246006,0.616,0.616,0.6217105263157895,0.7105263157894737,0.6631578947368421
47,0.02,depolarizing,L3,0.329073482428115,0.594,0.594,0.6060606060606061,0.6766917293233082,0.6394316163410302
47,0.02,depolarizing,L4,0.36741214057507987,0.582,0.582,0.6014234875444839,0.6353383458646616,0.6179159049360147
47,0.02,phase_damping,L1,0.31629392971246006,0.616,0.616,0.6209150326797386,0.7142857142857143,0.6643356643356644
47,0.02,phase_damping,L2,0.31309904153354634,0.624,0.624,0.6282894736842105,0.7180451127819549,0.6701754385964912
47,0.02,phase_damping,L3,0.28434504792332266,0.638,0.638,0.6402640264026402,0.7293233082706767,0.6818980667838312
47,0.02,phase_damping,L4,0.3035143769968051,0.624,0.624,0.6308724832214765,0.706766917293233,0.6666666666666666
47,0.02,readout,L1,0.3258785942492013,0.608,0.608,0.6143790849673203,0.706766917293233,0.6573426573426573
47,0.02,readout,L2,0.31309904153354634,0.616,0.616,0.6209150326797386,0.7142857142857143,0.6643356643356644
47,0.02,readout,L3,0.3194888178913738,0.614,0.614,0.6196721311475409,0.7105263157894737,0.6619964973730298
47,0.02,readout,L4,0.3226837060702875,0.614,0.614,0.6181229773462783,0.7180451127819549,0.6643478260869565
47,0.02,combined,L2,0.30990415335463256,0.616,0.616,0.6225165562913907,0.706766917293233,0.6619718309859155
47,0.05,none,L0,0.5559105431309904,0.554,0.554,0.5754385964912281,0.6165413533834586,0.5952813067150635
47,0.05,depolarizing,L1,0.5527156549520766,0.552,0.552,0.5729166666666666,0.6203007518796992,0.5956678700361011
47,0.05,depolarizing,L2,0.536741214057508,0.56,0.56,0.5787671232876712,0.6353383458646616,0.6057347670250897
47,0.05,depolarizing,L3,0.5015974440894568,0.57,0.57,0.5870307167235495,0.6466165413533834,0.6153846153846154
47,0.05,depolarizing,L4,0.48242811501597443,0.554,0.554,0.5776173285198556,0.6015037593984962,0.5893186003683242
47,0.05,phase_damping,L1,0.5527156549520766,0.554,0.554,0.5749128919860628,0.6203007518796992,0.596745027124774
47,0.05,phase_damping,L2,0.5431309904153354,0.558,0.558,0.5778546712802768,0.6278195488721805,0.6018018018018018
47,0.05,phase_damping,L3,0.5143769968051118,0.57,0.57,0.5858585858585859,0.6541353383458647,0.6181172291296625
47,0.05,phase_damping,L4,0.48562300319488816,0.574,0.574,0.5892255892255892,0.6578947368421053,0.6216696269982238
47,0.05,readout,L1,0.5527156549520766,0.552,0.552,0.573943661971831,0.6127819548872181,0.5927272727272728
47,0.05,readout,L2,0.5463258785942492,0.554,0.554,0.5754385964912281,0.6165413533834586,0.5952813067150635
47,0.05,readout,L3,0.549520766773163,0.55,0.55,0.5719298245614035,0.6127819548872181,0.5916515426497277
47,0.05,readout,L4,0.536741214057508,0.56,0.56,0.5793103448275863,0.631578947368421,0.60431654676259
47,0.05,combined,L2,0.5271565495207667,0.564,0.564,0.5827586206896552,0.6353383458646616,0.6079136690647482
47,0.1,none,L0,0.4249201277955272,0.594,0.594,0.5993690851735016,0.7142857142857143,0.6518010291595198
47,0.1,depolarizing,L1,0.4217252396166134,0.594,0.594,0.5993690851735016,0.7142857142857143,0.6518010291595198
47,0.1,depolarizing,L2,0.4249201277955272,0.594,0.594,0.5993690851735016,0.7142857142857143,0.6518010291595198
47,0.1,depolarizing,L3,0.43769968051118213,0.57,0.57,0.5830618892508144,0.6729323308270677,0.62478184991274
47,0.1,depolarizing,L4,0.4440894568690096,0.554,0.554,0.5765124555160143,0.6090225563909775,0.5923217550274223
47,0.1,phase_damping,L1,0.4217252396166134,0.594,0.594,0.5993690851735016,0.7142857142857143,0.6518010291595198
47,0.1,phase_damping,L2,0.4249201277955272,0.594,0.594,0.5987460815047022,0.7180451127819549,0.652991452991453
